1	2	3	4	5	6	7	A	B	C	D	E	F	G	J	L	M	N	Q	R	Z	S	s	H
Van Cortlandt Park-242nd St;1	Wakefield-241st St;2	Harlem-148th St;3	Woodlawn;4	Eastchester-Dyre Av;5	Pelham Bay Park;6	Flushing-Main St;7	Inwood - 207th St;A	Bedford Park Blvd;BD	;1AC	Norwood-205th St;D	Parsons Blvd-Archer Av - Jamaica Center;EJZ	Jamaica-179th St;F	;7EGM	Parsons Blvd-Archer Av - Jamaica Center;EJZ	;ACEL	;EFMR	Ditmars Blvd;NQ	Ditmars Blvd;NQ	;EFMR	Parsons Blvd-Archer Av - Jamaica Center;EJZ	;1237ACENQRS	Franklin Av;Cs	Broad Channel;AH
238th St;1	238th St-Nereid Av;2	145th St;3	Mosholu Parkway;4	Baychester Av;5	Buhre Av;6	Mets - Willets Point;7	Dyckman St-200th St;A	Kingsbridge Rd;BD	163rd St - Amsterdam Av;C	Bedford Park Blvd;BD	Sutphin Blvd-Archer Av - JFK;EJZ	169th St;F	21st St;G	Sutphin Blvd-Archer Av - JFK;EJZ	;123FLM	67th Av;MR	Astoria Blvd-Hoyt Av;NQ	Astoria Blvd-Hoyt Av;NQ	67th Av;MR	Sutphin Blvd-Archer Av - JFK;EJZ	;4567S	Park Place;s	Beach 90th St;H
231st St;1	233rd St;2	135th St;23	Bedford Park Blvd-Lehman College;4	Gun Hill Rd;5	Middletown Rd;6	111th St;7	190th St;A	Fordham Rd;BD	155th St;C	Kingsbridge Rd;BD	Jamaica-Van Wyck;E	Parsons Blvd;F	Greenpoint Av;G	121st St;JZ	;456LNQR	63rd Drive-Rego Park;MR	30 Av-Grand Av;NQ	30 Av-Grand Av;NQ	63rd Drive-Rego Park;MR	121st St;JZ		;2345s	Beach 98th St;H
Marble Hill-225th St;1	225th St;2	125th St;23	Kingsbridge Rd;4	Pelham Parkway;5	Westchester Square-East Tremont Av;6	103rd St;7	181st St;A	182nd-183rd Sts;BD	145th St;ABCD	Fordham Rd;BD	Briarwood-Van Wyck Blvd;EF	Sutphin Blvd;F	Nassau Av;G	111th St;J	3rd Av;L	Woodhaven Blvd;MR	Broadway;NQ	Broadway;NQ	Woodhaven Blvd;MR	104th St-102nd St;JZ		Prospect Park;BQs	Beach 105th St;H
215th St;1	219th St;2	116th St;23	Fordham Rd;4	Morris Park;5	Zerega Av;6	Junction Blvd;7	175th St;A	Tremont Av;BD	135th St;BC	182nd-183rd Sts;BD	Kew Gardens-Union Turnpike;EF	Briarwood-Van Wyck Blvd;EF	;GL	104th St-102nd St;JZ	1st Av;L	Grand Av-Newtown;MR	36 Av-Washington Av;NQ	36 Av-Washington Av;NQ	Grand Av-Newtown;MR	Woodhaven Blvd;JZ			Rockaway Park-Beach 116th;H
207th St;1	Gun Hill Rd;2	110th St-Central Park North;23	183rd St;4	East 180th St;25	Castle Hill Av;6	90th St Elmhurst;7	;1AC	174-175th Sts;BD	125th St;ABCD	Tremont Av;BD	75th Av;EF	Kew Gardens-Union Turnpike;EF	Broadway;G	Woodhaven Blvd;JZ	Bedford Av;L	Elmhurst Av;MR	39 Av-Beebe Av;NQ	39 Av-Beebe Av;NQ	Elmhurst Av;MR	Elderts Lane-75th St;JZ			
Dyckman St;1	Burke Av;2	96th St;123	Burnside Av;4	East Tremont Av-West Farms Sq;25	Parkchester-East 177th St;6	82nd St-Jackson Heights;7	145th St;ABCD	170th St;BD	116th St;BC	174-175th Sts;BD	;EFMR	75th Av;EF	Flushing Av;G	Forest Parkway-85th St;J	;GL	;7EFMR	Queensboro Plaza;7NQ	Queensboro Plaza;7NQ	;7EFMR	Crescent St;JZ			
191st St;1	Allerton Av;2	72nd St;123	176th St;4	174th St;25	St Lawrence Av;6	;7EFMR	125th St;ABCD	167th St;BD	Cathedral Parkway-110th St;BC	170th St;BD	;7EFMR	;EFMR	Myrtle-Willoughby Avs;G	Elderts Lane-75th St;JZ	Graham Av;L	65th St;MR	;456NQR	;456NQR	65th St;MR	Norwood Av;JZ			
181st St;1	Pelham Parkway;2	;1237ACENQRS	Mt Eden Av;4	Freeman St;25	Morrison Av-Soundview Av;6	Fisk Av-69th St;7	;1ABCD	Yankee Stadium-161st St;4BD	103rd St;BC	167th St;BD	Queens Plaza;EMR	;7EFMR	Bedford-Nostrand Avs;G	Cypress Hills;J	Grand St;L	Northern Blvd;MR	5th Av;NQR	5th Av;NQR	Northern Blvd;MR	Van Siclen Av;JZ			
;1AC	Bronx Park East;2	34th St;123	170th St;4	Simpson St;25	Elder Av;6	Woodside Av-61st St;7	;1237ACENQRS	155th St;BD	96th St;BC	Yankee Stadium-161st St;4BD	;7EGM	21st St;F	Classon Av;G	Crescent St;JZ	Montrose Av;L	46th St;MR	57th St;NQR	57th St;NQR	46th St;MR	;ACJLZ			
157th St;1	East 180th St;25	;123FLM	167th St;4	Intervale Av;25	Whitlock Av;6	Lincoln Av-52nd St;7	34th St;ACE	145th St;ABCD	86th St;BC	155th St;BD	;6EM	Roosevelt Island;F	Clinton-Washington Avs;G	Norwood Av;JZ	Morgan Av;L	Steinway St;MR	49th St;NQR	49th St;NQR	Steinway St;MR	Chauncey St;JZ			
145th St;1	East Tremont Av-West Farms Sq;25	Chambers St;123	Yankee Stadium-161st St;4BD	Prospect Av;25	Hunts Point Av;6	Bliss St-46th St;7	;ACEL	135th St;BC	81st St - Museum of Natural History;BC	145th St;ABCD	5th Av-53rd St;EM	Lexington Av;F	Fulton St;G	Cleveland St;J	Jefferson St;L	36th St;MR	;1237ACENQRS	;1237ACENQRS	36th St;MR	Gates Av;JZ			
137th St-City College;1	174th St;25	;23ACE	149th St-Grand Concourse;245	Jackson Av;25	Longwood Av;6	Lowery St-40th St;7	;ABCDEFM	125th St;ABCD	72nd St;BC	125th St;ABCD	7th Av;BDE	57th St;F	Hoyt & Schermerhorn;ACG	Van Siclen Av;JZ	DeKalb Av;L	Queens Plaza;EMR	;BDFMNQR	;BDFMNQR	Queens Plaza;EMR	Myrtle Av;JMZ			
125th St;1	Freeman St;25	;2345ACJZ	138th St;45	149th St-3rd Av;25	East 149th St;6	Rawson St-33rd St;7	Canal St;ACE	116th St;BC	;1ABCD	;1ABCD	50th St;CE	;BDFM	Bergen St;FG	Alabama Av;J	Myrtle Av;LM	;7EGM	28th St;NR	;456LNQR	;456NQR	Marcy Av;JMZ			
116th St-Columbia University;1	Simpson St;25	Wall St;23	125th St;456	149th St-Grand Concourse;245	East 143rd St-St Mary's St;6	Queensboro Plaza;7NQ	;23ACE	Cathedral Parkway-110th St;BC	50th St;CE	7th Av;BDE	;1237ACENQRS	;7BDFM	Carroll St;FG	;ACJLZ	Halsey St;L	;6EM	23rd St;NR	;6JNQRZ	5th Av;NQR	;FJMZ			
Cathedral Parkway-110th St;1	Intervale Av;25	Clark St;23	86th St;456	138th St;45	Cypress Av;6	;7EGM	;2345ACJZ	103rd St;BC	;1237ACENQRS	;BDFM	34th St;ACE	;BDFMNQR	Smith-9th St;FG	Chauncey St;JZ	Wilson Av;L	5th Av-53rd St;EM	;456LNQR	DeKalb Av;BQR	57th St;NQR	Bowery;JZ			
103rd St;1	Prospect Av;25	;2345R	;456NQR	125th St;456	Brook Av;6	Hunters Point;7	High St;AC	96th St;BC	34th St;ACE	;7BDFM	23rd St;CE	23rd St;FM	;FGR	Halsey St;J	Bushwick Av;L	;BDFM	8th St;NR	;2345BDNQR	49th St;NQR	;6JNQRZ			
96th St;123	Jackson Av;25	Hoyt St;23	;4567S	86th St;456	138th St-3rd Ave;6	Vernon Blvd-Jackson Av;7	;ACFR	86th St;BC	23rd St;CE	;BDFMNQR	;ACEL	;123FLM	7th Av;FG	Gates Av;JZ	;ACJLZ	;7BDFM	Prince St;NR	7th Av;BQ	;1237ACENQRS	;456JZ			
86th St;1	149th St-3rd Av;25	;2345	;456LNQR	;456NQR	125th St;456	;4567S	Hoyt & Schermerhorn;ACG	81st St - Museum of Natural History;BC	;ACEL	;ABCDEFM	;ABCDEFM	;ABCDEFM	Prospect Park-15 St;FG	Kosciusko St;J	Atlantic Av;L	;BDFMNQR	;6JNQRZ	Prospect Park;BQs	;BDFMNQR	;2345ACJZ			
79th St;1	149th St-Grand Concourse;245	;2345BDNQR	;456JZ	;4567S	116th St;6	;7BDFM	Nostrand Av;AC	72nd St;BC	;ABCDEFM	;6BDFM	Spring St;CE	;6BDFM	Fort Hamilton Parkway;FG	Myrtle Av;JMZ	Sutter Av;L	23rd St;FM	;2345BDNQR	Parkside Av;Q	28th St;NR	Broad St;JZ			
72nd St;123	135th St;23	Bergen St;23	;2345ACJZ	;456LNQR	110th St;6	;1237ACENQRS	Utica Av;AC	;1ABCD	Spring St;CE	Grand St;BD	Canal St;ACE	2nd Av;F	Church Av;FG	Flushing Av;JM	Livonia Av;L	;123FLM	36th St;DNR	Church Av;BQ	23rd St;NR				
66th St-Lincoln Center;1	125th St;23	Grand Army Plaza;23	Wall St;45	;456JZ	103rd St;6		;ACJLZ	7th Av;BDE	Canal St;ACE	;2345BDNQR	;23ACE	;FJMZ		Lorimer St;JM	New Lots Av;L	;ABCDEFM	59th St;NR	Beverly Rd;Q	;456LNQR				
;1ABCD	116th St;23	Eastern Parkway-Brooklyn Museum;23	Bowling Green;45	;2345ACJZ	96th St;6		Euclid Av;AC	;BDFM	;23ACE	36th St;DNR		East Broadway;F		Hewes St;JM	East 105th St;L	;6BDFM	8th Av;N	Cortelyou Rd;Q	8th St;NR				
